instance,algo,pool,run,wind,our_nd,cec_nd,our_cost_min,cec_cost_min,our_power_max,cec_power_max,d_cost_min_abs,d_cost_min_pct,d_power_max_abs,d_power_max_pct,C_cec_ours,C_ours_cec
ns178,nsga2,p100_i50,7,"0deg, 7 m/s",226,229,47392954.56500759,47372869.46292838,37412.5010070801,37408.4043273926,20085.102079212666,0.04239790054290517,4.0966796875,0.010951228102772012,0.22566371681415928,0.2925764192139738
ns178,nsga2,p100_i50,8,"30deg, 7 m/s",247,300,47470128.69728402,47487542.078976944,54032.4331665039,54032.733581543,-17413.381692923605,-0.03666936828181854,-0.3004150390988798,-0.0005559871196327893,0.5506072874493927,0.32666666666666666
ns178,nsga2,p100_i50,9,"150deg, 15 m/s",254,262,47464857.289366655,47445113.02880216,1984485.18359375,1984269.26171875,19744.260564498603,0.041614951054100346,215.921875,0.01088168219735315,0.15354330708661418,0.7633587786259542
ns192,moead,p100_i50,0,"120deg, 11 m/s",300,300,65431030.69963373,65431296.39999622,871791.6474609375,871791.6474609375,-265.70036248862743,-0.0004060753448385638,0.0,0.0,0.06333333333333334,0.88
ns192,moead,p100_i50,1,"180deg, 11 m/s",300,300,65429805.25877408,65426001.21197247,827208.9516601562,827298.0522460938,3804.046801611781,0.0058142737308476515,-89.1005859375,-0.010770070798014586,0.86,0.09333333333333334
ns192,moead,p100_i50,2,"240deg, 13 m/s",300,300,65435262.46559313,65438108.26331868,1275293.580078125,1275293.580078125,-2845.7977255508304,-0.004348838621831068,0.0,0.0,0.42333333333333334,0.5
ns192,moead,p100_i50,3,"210deg, 13 m/s",300,299,65440209.982667126,65431931.40023916,1427911.3935546875,1428287.0986328125,8278.582427963614,0.012652205507009313,-375.705078125,-0.026304590896650475,0.7366666666666667,0.1705685618729097
ns192,moead,p100_i50,4,"120deg, 4 m/s",139,132,65419595.3964556,65419595.3964556,1706.8446331024,1706.8446331024,0.0,0.0,0.0,0.0,0.697841726618705,0.13636363636363635
ns192,moead,p100_i50,5,"180deg, 16 m/s",300,299,65432239.27967055,65430186.674907,2648561.47265625,2649329.75,2052.6047635525465,0.0031370914066790167,-768.27734375,-0.02899893241866174,0.3566666666666667,0.34782608695652173
ns192,moead,p100_i50,6,"60deg, 16 m/s",300,300,65424601.24536929,65434001.44770336,2521958.24609375,2521958.24609375,-9400.202334068716,-0.014365929220424666,0.0,0.0,0.4,0.44
ns192,moead,p100_i50,7,"90deg, 10 m/s",300,300,65424766.1149161,65420796.63726448,512348.3198242188,512348.3198242188,3969.477651618421,0.006067608246392644,0.0,0.0,0.5233333333333333,0.30333333333333334
ns192,moead,p100_i50,8,"60deg, 6 m/s",170,201,65420280.5174737,65419866.39469767,17162.4146270752,17162.4146270752,414.12277602404356,0.0006330229620548545,0.0,0.0,0.3941176470588235,0.46766169154228854
ns192,moead,p100_i50,9,"0deg, 15 m/s",137,139,65426917.69063074,65427206.33489378,2186856.173828125,2187695.16796875,-288.6442630365491,-0.000441168558472607,-838.994140625,-0.0383505962306438,0.11678832116788321,0.8633093525179856
